GIORNATA,DATA,ORARIO,SQUADRA1,SQUADRA2,RISULTATO FINALE
1,17-08-2024,18:30,Genoa,Inter,2-2
1,17-08-2024,18:30,Parma,Fiorentina,1-1
1,17-08-2024,20:45,Empoli,Monza,0-0
1,17-08-2024,20:45,Milan,Torino,2-2
1,18-08-2024,18:30,Bologna,Udinese,1-1
1,18-08-2024,18:30,Verona,Napoli,3-0
1,18-08-2024,20:45,Cagliari,Roma,0-0
1,18-08-2024,20:45,Lazio,Venezia,3-1
1,19-08-2024,18:30,Lecce,Atalanta,0-4
1,19-08-2024,20:45,Juventus,Como,3-0
2,24-08-2024,18:30,Parma,Milan,2-1
2,24-08-2024,18:30,Udinese,Lazio,2-1
2,24-08-2024,20:45,Inter,Lecce,2-0
2,24-08-2024,20:45,Monza,Genoa,0-1
2,25-08-2024,18:30,Fiorentina,Venezia,0-0
2,25-08-2024,18:30,Torino,Atalanta,2-1
2,25-08-2024,20:45,Napoli,Bologna,3-0
2,25-08-2024,20:45,Roma,Empoli,1-2
2,26-08-2024,18:30,Cagliari,Como,1-1
2,26-08-2024,20:45,Verona,Juventus,0-3
3,30-08-2024,18:30,Venezia,Torino,0-1
3,30-08-2024,20:45,Inter,Atalanta,4-0
3,31-08-2024,18:30,Bologna,Empoli,1-1
3,31-08-2024,18:30,Lecce,Cagliari,1-0
3,31-08-2024,20:45,Lazio,Milan,2-2
3,31-08-2024,20:45,Napoli,Parma,2-1
3,01-09-2024,18:30,Fiorentina,Monza,2-2
3,01-09-2024,18:30,Genoa,Verona,0-2
3,01-09-2024,20:45,Juventus,Roma,0-0
3,01-09-2024,20:45,Udinese,Como,1-0
4,14-09-2024,15:00,Como,Bologna,2-2
4,14-09-2024,18:00,Empoli,Juventus,0-0
4,14-09-2024,20:45,Milan,Venezia,4-0
4,15-09-2024,12:30,Genoa,Roma,1-1
4,15-09-2024,15:00,Atalanta,Fiorentina,3-2
4,15-09-2024,15:00,Torino,Lecce,0-0
4,15-09-2024,18:00,Cagliari,Napoli,0-4
4,15-09-2024,20:45,Monza,Inter,1-1
4,16-09-2024,18:30,Parma,Udinese,2-3
4,16-09-2024,20:45,Lazio,Verona,2-1
5,20-09-2024,18:30,Cagliari,Empoli,0-2
5,20-09-2024,20:45,Verona,Torino,2-3
5,21-09-2024,15:00,Venezia,Genoa,2-0
5,21-09-2024,18:00,Juventus,Napoli,0-0
5,21-09-2024,20:45,Lecce,Parma,2-2
5,22-09-2024,12:30,Fiorentina,Lazio,2-1
5,22-09-2024,15:00,Monza,Bologna,1-2
5,22-09-2024,18:00,Roma,Udinese,3-0
5,22-09-2024,20:45,Inter,Milan,1-2
5,24-09-2024,20:45,Atalanta,Como,2-3
6,27-09-2024,20:45,Milan,Lecce,3-0
6,28-09-2024,15:00,Udinese,Inter,2-3
6,28-09-2024,18:00,Genoa,Juventus,0-3
6,28-09-2024,20:45,Bologna,Atalanta,1-1
6,29-09-2024,12:30,Torino,Lazio,2-3
6,29-09-2024,15:00,Como,Verona,3-2
6,29-09-2024,15:00,Roma,Venezia,2-1
6,29-09-2024,18:00,Empoli,Fiorentina,0-0
6,29-09-2024,20:45,Napoli,Monza,2-0
6,30-09-2024,20:45,Parma,Cagliari,2-3
7,04-10-2024,18:30,Napoli,Como,3-1
7,04-10-2024,20:45,Verona,Venezia,2-1
7,05-10-2024,15:00,Udinese,Lecce,1-0
7,05-10-2024,18:00,Atalanta,Genoa,5-1
7,05-10-2024,20:45,Inter,Torino,3-2
7,06-10-2024,12:30,Juventus,Cagliari,1-1
7,06-10-2024,15:00,Bologna,Parma,0-0
7,06-10-2024,15:00,Lazio,Empoli,2-1
7,06-10-2024,18:00,Monza,Roma,1-1
7,06-10-2024,20:45,Fiorentina,Milan,2-1
8,19-10-2024,15:00,Como,Parma,1-1
8,19-10-2024,15:00,Genoa,Bologna,2-2
8,19-10-2024,18:00,Milan,Udinese,1-0
8,19-10-2024,20:45,Juventus,Lazio,1-0
8,20-10-2024,12:30,Empoli,Napoli,0-1
8,20-10-2024,15:00,Lecce,Fiorentina,0-6
8,20-10-2024,15:00,Venezia,Atalanta,0-2
8,20-10-2024,18:00,Cagliari,Torino,3-2
8,20-10-2024,20:45,Roma,Inter,0-1
8,21-10-2024,20:45,Verona,Monza,0-3
9,25-10-2024,18:30,Udinese,Cagliari,2-0
9,25-10-2024,20:45,Torino,Como,1-0
9,26-10-2024,15:00,Napoli,Lecce,1-0
9,26-10-2024,20:45,Atalanta,Verona,6-1
9,27-10-2024,12:30,Parma,Empoli,1-1
9,27-10-2024,15:00,Lazio,Genoa,3-0
9,27-10-2024,15:00,Monza,Venezia,2-2
9,27-10-2024,18:00,Inter,Juventus,4-4
9,27-10-2024,20:45,Fiorentina,Roma,5-1
9,27-02-2025,20:45,Bologna,Milan,2-1
10,29-10-2024,18:30,Cagliari,Bologna,0-2
10,29-10-2024,18:30,Lecce,Verona,1-0
10,29-10-2024,20:45,Milan,Napoli,0-2
10,30-10-2024,18:30,Empoli,Inter,0-3
10,30-10-2024,18:30,Venezia,Udinese,3-2
10,30-10-2024,20:45,Atalanta,Monza,2-0
10,30-10-2024,20:45,Juventus,Parma,2-2
10,31-10-2024,18:30,Genoa,Fiorentina,0-1
10,31-10-2024,20:45,Como,Lazio,1-5
10,31-10-2024,20:45,Roma,Torino,1-0
11,02-11-2024,15:00,Bologna,Lecce,1-0
11,02-11-2024,18:00,Udinese,Juventus,0-2
11,02-11-2024,20:45,Monza,Milan,0-1
11,03-11-2024,12:30,Napoli,Atalanta,0-3
11,03-11-2024,15:00,Torino,Fiorentina,0-1
11,03-11-2024,18:00,Verona,Roma,3-2
11,03-11-2024,20:45,Inter,Venezia,1-0
11,04-11-2024,18:30,Empoli,Como,1-0
11,04-11-2024,18:30,Parma,Genoa,0-1
11,04-11-2024,20:45,Lazio,Cagliari,2-1
12,07-11-2024,20:45,Genoa,Como,1-1
12,08-11-2024,20:45,Lecce,Empoli,1-1
12,09-11-2024,15:00,Venezia,Parma,1-2
12,09-11-2024,18:00,Cagliari,Milan,3-3
12,09-11-2024,20:45,Juventus,Torino,2-0
12,10-11-2024,12:30,Atalanta,Udinese,2-1
12,10-11-2024,15:00,Fiorentina,Verona,3-1
