giornata,anno,team1,team2,result,quote1,quote2,pareggio,data
Anno 2024/2025

1,2024,parma,fiorentina,1-1,3.50,2.15,3.30,17-08-2024
1,2024,genoa,inter,2-2,6.95,1.50,4.05,17-08-2024
1,2024,milan,torino,2-2,1.50,6.95,4.15,17-08-2024
1,2024,empoli,monza,0-0,2.40,3.10,3.05,17-08-2024
1,2024,verona,napoli,3-0,5.20,1.70,3.55,18-08-2024
1,2024,bologna,udinese,1-1,2.00,4.00,3.30,18-08-2024
1,2024,lazio,venezia,3-1,1.40,9.00,4.30,18-08-2024
1,2024,cagliari,roma,0-0,3.80,2.00,3.40,18-08-2024
1,2024,lecce,atalanta,0-4,3.50,2.10,3.40,18-08-2024
1,2024,juventus,como,3-0,1.50,6.00,4.10,19-08-2024

2,2024,torino,empoli,0-0,5.63,5.06,4.06,24-08-2024
2,2024,parma,fiorentina,1-4,5.23,3.89,4.36,24-08-2024
2,2024,genoa,bologna,1-1,2.04,6.02,3.78,24-08-2024
2,2024,udinese,napoli,3-1,4.32,2.15,4.24,24-08-2024
2,2024,como,cagliari,1-3,4.85,3.04,3.79,24-08-2024
2,2024,juventus,inter,0-0,1.83,2.61,3.31,24-08-2024
2,2024,milan,lazio,4-4,3.89,5.46,3.8,24-08-2024
2,2024,venezia,monza,1-1,1.36,2.83,3.2,24-08-2024
2,2024,lecce,atalanta,4-0,2.71,5.03,4.12,24-08-2024
2,2024,verona,roma,3-4,2.42,4.43,3.71,24-08-2024

3,2024,verona,parma,3-0,3.38,1.71,4.13,31-08-2024
3,2024,inter,bologna,1-3,2.72,5.22,4.1,31-08-2024
3,2024,como,genoa,2-1,3.4,4.96,4.03,31-08-2024
3,2024,juventus,milan,0-3,4.73,5.91,4.17,31-08-2024
3,2024,venezia,atalanta,2-3,5.33,3.2,4.25,31-08-2024
3,2024,monza,empoli,3-0,6.48,2.5,3.36,31-08-2024
3,2024,cagliari,lazio,0-4,4.56,5.44,4.49,31-08-2024
3,2024,torino,fiorentina,4-3,5.38,3.0,3.35,31-08-2024
